date,au_na,au_sa,au_eu,au_af,au_as,au_au,au_ww
2016-03-04,8,0,0,0,0,0,8
2016-03-05,3,0,0,0,0,0,3
2016-03-06,3,0,0,0,0,0,3
2016-03-07,1,0,0,0,0,0,1
2016-03-08,2,0,0,0,0,0,2
2016-03-09,1,0,0,0,0,0,1
2016-03-10,116,76,16,5,75,56,344
2016-03-11,3,1,0,0,8,2,14
2016-03-12,4,1,0,0,9,2,16
2016-03-13,7,0,0,0,0,0,7
2016-03-14,4,0,0,0,0,0,4
2016-03-15,7,0,0,0,0,0,7
2016-03-16,3,2,0,0,5,2,12
2016-03-17,8,6,1,0,9,4,28
2016-03-18,3,2,0,0,6,1,12
2016-03-19,9,0,0,0,0,0,9
2016-03-20,8,0,0,0,0,0,8
2016-03-21,3,0,0,0,0,0,3
2016-03-22,5,0,0,0,0,0,5
2016-03-23,6,2,1,0,9,5,23
2016-03-24,10,5,1,1,13,8,38
2016-03-25,16,5,0,1,18,8,48
2016-03-26,12,9,2,1,12,10,46
2016-03-27,14,10,1,0,13,12,50
2016-03-28,11,8,1,1,9,6,36
2016-03-29,9,3,0,1,16,6,35
2016-03-30,13,7,2,1,11,6,40
2016-03-31,18,14,2,2,11,12,59
2016-04-01,143,100,14,14,144,125,540
2016-04-02,286,101,52,18,211,178,846
2016-04-03,277,237,73,16,278,192,1073
2016-04-04,305,226,27,40,254,182,1034
2016-04-05,122,58,13,11,143,62,409
2016-04-06,91,73,9,12,54,55,294
2016-04-07,85,35,8,11,68,46,253
2016-04-08,205,89,33,19,197,112,655
2016-04-09,316,195,41,16,167,194,929
2016-04-10,349,315,44,48,336,203,1295
2016-04-11,408,130,51,14,441,256,1300
2016-04-12,388,193,37,55,307,179,1159
2016-04-13,474,219,44,36,299,313,1385
2016-04-14,419,190,71,59,441,323,1503
2016-04-15,371,201,69,17,488,279,1425
2016-04-16,363,255,31,24,258,177,1108
2016-04-17,188,76,24,9,135,136,568
2016-04-18,96,51,6,3,124,50,330
2016-04-19,105,59,19,12,63,73,331
2016-04-20,82,30,9,8,97,53,279
2016-04-21,82,43,17,12,59,53,266
2016-04-22,84,56,7,9,35,61,252
2016-04-23,53,28,12,3,80,37,213
2016-04-24,65,43,4,3,59,51,225
2016-04-25,72,26,4,6,82,33,223
2016-04-26,70,45,11,4,37,50,217
2016-04-27,56,42,7,10,60,48,223
2016-04-28,55,30,8,4,48,46,191
2016-04-29,62,38,5,6,47,45,203
2016-04-30,56,36,13,3,44,47,199
2016-05-01,53,32,8,9,66,37,205
2016-05-02,54,36,7,4,76,34,211
