date,ccu_ww,ccu_au,ccu_as,ccu_af,ccu_eu,ccu_sa,ccu_na
2020-01-01 08:00:00,697,174,257,33,47,170,242
2020-01-01 08:10:00,698,169,241,33,48,167,239
2020-01-01 08:20:00,691,169,256,33,47,165,231
2020-01-01 08:30:00,680,170,259,34,44,165,236
2020-01-01 08:40:00,663,164,266,33,45,167,236
2020-01-01 08:50:00,684,164,280,32,44,164,232
2020-01-01 09:00:00,649,158,249,32,43,163,219
2020-01-01 09:10:00,652,152,244,31,43,154,218
2020-01-01 09:20:00,639,164,246,32,44,154,220
2020-01-01 09:30:00,668,164,277,32,45,161,228
2020-01-01 09:40:00,635,155,249,31,44,156,223
2020-01-01 09:50:00,668,163,253,31,45,163,232
2020-01-01 10:00:00,671,154,275,31,43,164,230
2020-01-01 10:10:00,664,168,271,33,46,166,235
2020-01-01 10:20:00,676,167,259,34,46,168,232
2020-01-01 10:30:00,694,171,262,33,47,169,231
2020-01-01 10:40:00,684,171,272,34,48,171,244
2020-01-01 10:50:00,697,175,294,34,47,167,244
2020-01-01 11:00:00,712,175,281,34,48,173,248
2020-01-01 11:10:00,728,180,299,34,50,178,254
2020-01-01 11:20:00,730,184,268,36,50,178,248
2020-01-01 11:30:00,721,180,282,35,45,181,241
2020-01-01 11:40:00,731,175,280,36,48,176,250
2020-01-01 11:50:00,732,178,296,36,52,179,248
2020-01-01 12:00:00,733,183,274,36,49,179,258
2020-01-01 12:10:00,714,178,283,36,50,176,253
2020-01-01 12:20:00,721,175,265,36,48,174,254
2020-01-01 12:30:00,722,178,256,34,49,177,249
2020-01-01 12:40:00,695,171,274,34,48,173,248
2020-01-01 12:50:00,698,175,258,34,48,172,245
2020-01-01 13:00:00,707,175,270,35,48,172,241
2020-01-01 13:10:00,707,169,279,33,49,175,241
2020-01-01 13:20:00,709,174,292,33,48,169,237
2020-01-01 13:30:00,715,170,295,34,49,175,237
2020-01-01 13:40:00,713,173,256,33,46,167,241
2020-01-01 13:50:00,712,175,279,34,46,168,245
2020-01-01 14:00:00,682,168,282,34,47,176,246
2020-01-01 14:10:00,695,171,252,34,48,169,244
2020-01-01 14:20:00,674,169,274,33,47,173,238
2020-01-01 14:30:00,693,173,248,32,47,166,234
2020-01-01 14:40:00,698,173,259,33,48,172,241
2020-01-01 14:50:00,679,171,251,32,48,174,237
2020-01-01 15:00:00,687,174,262,34,47,176,240
2020-01-01 15:10:00,705,177,297,34,46,171,242
2020-01-01 15:20:00,695,172,294,34,49,172,243
2020-01-01 15:30:00,719,178,252,35,50,173,243
2020-01-01 15:40:00,731,181,308,36,50,184,248
2020-01-01 15:50:00,722,177,250,35,49,180,245
2020-01-01 16:00:00,766,183,282,36,51,184,260
2020-01-01 16:10:00,772,194,314,36,53,191,265
2020-01-01 16:20:00,781,197,329,38,53,200,280
2020-01-01 16:30:00,814,204,334,39,56,201,275
2020-01-01 16:40:00,826,203,325,41,55,208,282
2020-01-01 16:50:00,811,206,330,40,56,202,286
2020-01-01 17:00:00,822,200,338,40,55,203,289
2020-01-01 17:10:00,828,210,334,41,57,203,288
2020-01-01 17:20:00,848,211,350,42,59,209,296
2020-01-01 17:30:00,874,214,361,43,59,212,304
2020-01-01 17:40:00,880,214,382,43,59,213,303
2020-01-01 17:50:00,890,217,347,43,60,214,310
2020-01-01 18:00:00,894,215,355,41,59,212,307
2020-01-01 18:10:00,867,213,367,41,62,221,298
2020-01-01 18:20:00,871,209,353,41,62,217,307
2020-01-01 18:30:00,880,221,367,42,62,211,299
2020-01-01 18:40:00,885,215,305,42,61,216,306
