date,volume_ww
2018-11-29,2030
2018-12-30,1011
2018-11-30,1231
2018-12-01,953
2018-12-02,1162
2018-12-03,708
2018-12-04,697
2018-12-05,3287
2018-12-06,3478
2018-12-07,2157
2018-12-08,1862
2018-12-09,2565
2018-12-10,940
2018-12-11,1654
2018-12-12,2064
2018-12-13,1704
2018-12-14,1506
2018-12-15,1382
2018-12-16,1346
2018-12-17,1853
2018-12-18,6423
2018-12-19,3658
2018-12-20,1747
2018-12-21,1610
2018-12-22,1939
2018-12-23,4889
2018-12-24,1520
2018-12-25,1331
2018-12-26,2179
2018-12-27,1715
2018-12-28,1140
2018-12-29,1458
2018-12-30,1035
2018-12-31,1468
2019-01-01,1522
2019-01-02,1973
2019-01-03,2232
2019-01-04,1356
2019-01-05,1195
2019-01-06,2614
2019-01-07,869
2019-01-08,1504
2019-01-09,1728
2019-01-10,1121
2019-01-11,1299
2019-01-12,6033
2019-01-13,2639
2019-01-14,1207
2019-01-15,1307
2019-01-16,2152
2019-01-17,3206
2019-01-18,1761
2019-01-19,1595
2019-01-20,4997
2019-01-21,1842
2019-01-22,2117
2019-01-23,2278
2019-01-24,1775
2019-01-25,3520
2019-01-26,2423
2019-01-27,1599
2019-01-31,1271
2019-02-01,1040
2019-02-02,1782
2019-02-03,2089
2019-02-04,1207
2019-02-05,1136
2019-02-06,913
2019-02-07,3123
2019-02-08,723
2019-02-09,1641
2019-02-10,1621
2019-02-11,1733
2019-02-12,2990
2019-02-13,2566
2019-02-14,2208
2019-02-15,2539
2019-02-16,3104
2019-02-17,3311
2019-02-18,2548
2019-02-19,1530
2019-02-20,1414
2019-02-21,4443
2019-02-22,2454
2019-02-23,1947
2019-02-24,1876
2019-02-25,1871
2019-02-26,1010
2019-02-27,3517
2019-03-28,3059
2019-03-29,1919
2019-03-30,2469
2019-02-28,1588
2019-03-01,2626
2019-03-02,2974
2019-03-03,1200
2019-03-04,3070
2019-03-05,2250
2019-03-06,816
2019-03-07,2534
2019-03-08,2219
2019-03-09,1541
2019-03-10,1547
2019-03-11,1709
2019-03-12,2380
2019-03-13,1400
2019-03-14,1085
2019-03-15,1145
2019-03-16,1094
2019-03-17,962
2019-03-18,3373
2019-03-19,3843
2019-03-20,1789
2019-03-21,1855
2019-03-22,5852
2019-03-23,3253
2019-03-24,1982
2019-03-25,2046
2019-03-26,1185
2019-03-27,1318
2019-03-28,2359
2019-03-29,2352
2019-03-31,4572
2019-04-01,2421
2019-04-02,3337
2019-04-03,1635
2019-04-04,999
2019-04-05,1232
2019-04-06,675
2019-04-07,1280
2019-04-08,1237
2019-04-09,1759
2019-04-10,1286
2019-04-11,2993
2019-04-12,2317
2019-04-13,961
2019-04-14,1154
2019-04-15,3532
2019-04-16,4330
2019-04-17,1860
2019-04-18,1415
2019-04-19,1520
2019-04-20,2426
2019-04-21,1999
2019-04-22,1827
2019-04-23,1122
2019-04-24,1652
2019-04-25,2306
2019-04-26,1527
2019-04-27,861
2019-04-28,1576
2019-04-29,3322
2019-05-30,2761
2019-04-30,3789
2019-05-01,3226
2019-05-02,1741
2019-05-03,1127
2019-05-04,1720
2019-05-05,1752
2019-05-06,1725
2019-05-07,1710
2019-05-08,1926
2019-05-09,2683
2019-05-10,1829
2019-05-11,2822
2019-05-12,2552
2019-05-13,2278
2019-05-14,2094
2019-05-15,1388
2019-05-16,1324
2019-05-17,893
2019-05-18,2321
2019-05-19,2476
2019-05-20,1981
2019-05-21,2616
2019-05-22,1625
2019-05-23,1639
2019-05-24,1430
2019-05-25,1704
2019-05-26,2538
2019-05-27,2734
2019-05-28,929
2019-05-29,1692
2019-05-31,1521
2019-06-01,1535
2019-06-02,832
2019-06-03,1214
2019-06-04,2076
2019-06-05,1346
2019-06-06,1574
2019-06-07,1059
2019-06-08,1212
2019-06-09,1837
2019-06-10,1805
2019-06-11,2072
2019-06-12,1504
2019-06-13,1557
2019-06-14,1217
2019-06-15,1084
2019-06-16,1232
2019-06-17,1036
2019-06-18,1452
2019-06-19,2212
2019-06-20,3006
2019-06-21,2481
2019-06-22,1003
2019-06-23,1082
2019-06-24,1277
2019-06-25,1469
2019-06-26,704
2019-06-27,2367
2019-06-28,1553
2019-06-29,1228
2019-07-30,1907
2019-06-30,2196
2019-07-01,738
2019-07-02,1062
2019-07-03,1533
2019-07-04,872
2019-07-05,1001
2019-07-06,1032
2019-07-07,813
2019-07-08,1454
2019-07-09,1436
2019-07-10,1859
2019-07-11,2181
2019-07-12,1338
2019-07-13,1263
2019-07-14,1206
2019-07-15,1187
2019-07-16,1056
2019-07-17,1374
2019-07-18,1673
2019-07-19,2131
2019-07-20,2910
2019-07-21,1407
2019-07-22,1427
2019-07-23,623
2019-07-24,899
2019-07-25,1207
2019-07-26,935
2019-07-27,1251
2019-07-28,1902
2019-07-29,1891
2019-07-30,2723
2019-07-31,814
2019-08-01,2087
2019-08-02,1171
2019-08-03,1039
2019-08-04,708
2019-08-05,2187
2019-08-06,1203
2019-08-07,3422
2019-08-08,2028
2019-08-09,3227
2019-08-10,988
2019-08-11,756
2019-08-12,895
2019-08-13,671
2019-08-14,1175
2019-08-15,1543
2019-08-16,992
2019-08-17,991
2019-08-18,815
2019-08-19,1930
2019-08-20,2207
2019-08-21,2502
2019-08-22,652
2019-08-23,1158
2019-08-24,509
2019-08-25,1091
2019-08-26,1619
2019-08-27,1782
2019-08-28,1551
2019-08-29,1686
2019-08-31,1052
2019-09-01,770
2019-09-02,638
2019-09-03,2231
2019-09-04,1956
2019-09-05,1450
2019-09-06,1451
2019-09-07,1194
2019-09-08,1746
2019-09-09,1765
2019-09-10,1337
2019-09-11,1226
2019-09-12,1611
2019-09-13,1742
2019-09-14,1057
2019-09-15,1225
2019-09-16,1242
2019-09-17,2027
2019-09-18,1489
2019-09-19,2445
2019-09-20,1068
2019-09-21,738
2019-09-22,1084
2019-09-23,748
2019-09-24,1908
2019-09-25,1441
2019-09-26,1500
2019-09-27,1169
2019-09-28,1497
2019-09-29,1690
2019-10-30,982
2019-09-30,1166
2019-10-01,796
2019-10-02,1096
2019-10-03,756
2019-10-04,633
2019-10-05,1317
2019-10-06,1359
2019-10-07,1836
2019-10-08,1596
2019-10-09,799
2019-10-10,1047
2019-10-11,1394
2019-10-12,1145
2019-10-13,846
2019-10-14,1785
2019-10-15,2239
2019-10-16,998
2019-10-17,2094
2019-10-18,1019
2019-10-19,1005
2019-10-20,758
2019-10-21,936
2019-10-22,624
2019-10-23,959
2019-10-24,840
2019-10-25,1262
2019-10-26,1055
2019-10-27,1297
2019-10-28,2778
2019-10-29,823
2019-10-31,1146
2019-11-01,567
2019-11-02,737
2019-11-03,461
2019-11-04,507
2019-11-05,598
2019-11-06,883
2019-11-07,1395
2019-11-08,2246
2019-11-09,822
2019-11-10,1011
2019-11-11,472
2019-11-12,1592
2019-11-13,1066
2019-11-14,2148
2019-11-15,1726
2019-11-16,1919
