date,volume_na,volume_sa,volume_eu,volume_af,volume_as,volume_au,volume_ww
2018-12-30,0.00,0.00,0.00,0.00,0.00,0.00,2093.05
2018-12-31,0.00,0.00,0.00,0.00,0.00,0.00,1083.32
2019-01-01,0.00,0.00,0.00,0.00,0.00,0.00,1314.96
2019-01-02,0.00,0.00,0.00,0.00,0.00,0.00,1012.28
2019-01-03,0.00,0.00,0.00,0.00,0.00,0.00,1107.26
2019-01-04,0.00,0.00,0.00,0.00,0.00,0.00,696.47
2019-01-05,0.00,0.00,0.00,0.00,0.00,0.00,759.47
2019-01-06,0.00,0.00,0.00,0.00,0.00,0.00,3489.48
2019-01-07,0.00,0.00,0.00,0.00,0.00,0.00,3774.25
2019-01-08,0.00,0.00,0.00,0.00,0.00,0.00,2093.55
2019-01-09,0.00,0.00,0.00,0.00,0.00,0.00,2052.08
2019-01-10,0.00,0.00,0.00,0.00,0.00,0.00,2821.10
2019-01-11,0.00,0.00,0.00,0.00,0.00,0.00,912.32
2019-01-12,0.00,0.00,0.00,0.00,0.00,0.00,1608.34
2019-01-13,0.00,0.00,0.00,0.00,0.00,0.00,1995.91
2019-01-14,0.00,0.00,0.00,0.00,0.00,0.00,1763.00
2019-01-15,0.00,0.00,0.00,0.00,0.00,0.00,1446.92
2019-01-16,0.00,0.00,0.00,0.00,0.00,0.00,1427.26
2019-01-17,0.00,0.00,0.00,0.00,0.00,0.00,1433.17
2019-01-18,0.00,0.00,0.00,0.00,0.00,0.00,1844.14
2019-01-19,0.00,0.00,0.00,0.00,0.00,0.00,6252.99
2019-01-20,0.00,0.00,0.00,0.00,0.00,0.00,3348.32
2019-01-21,0.00,0.00,0.00,0.00,0.00,0.00,1740.11
2019-01-22,0.00,0.00,0.00,0.00,0.00,0.00,1734.52
2019-01-23,0.00,0.00,0.00,0.00,0.00,0.00,1869.78
2019-01-24,0.00,0.00,0.00,0.00,0.00,0.00,5075.41
2019-01-25,0.00,0.00,0.00,0.00,0.00,0.00,1638.21
2019-01-26,0.00,0.00,0.00,0.00,0.00,0.00,1373.26
2019-01-27,0.00,0.00,0.00,0.00,0.00,0.00,2142.97
2019-01-28,0.00,0.00,0.00,0.00,0.00,0.00,1576.10
2019-01-29,0.00,0.00,0.00,0.00,0.00,0.00,1119.08
2019-01-30,0.00,0.00,0.00,0.00,0.00,0.00,1435.17
2019-01-31,0.00,0.00,0.00,0.00,0.00,0.00,991.25
2019-02-01,0.00,0.00,0.00,0.00,0.00,0.00,1601.20
2019-02-02,0.00,0.00,0.00,0.00,0.00,0.00,1610.23
2019-02-03,0.00,0.00,0.00,0.00,0.00,0.00,1935.96
2019-02-04,0.00,0.00,0.00,0.00,0.00,0.00,2170.94
2019-02-05,0.00,0.00,0.00,0.00,0.00,0.00,1258.18
2019-02-06,0.00,0.00,0.00,0.00,0.00,0.00,1185.16
2019-02-07,0.00,0.00,0.00,0.00,0.00,0.00,2814.11
